id,date,split,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms,circumplex.arousal_was_missing_originally,circumplex.valence_was_missing_originally,target_next_obs_mood,target_class
AS14.02,2014-04-02,train,1.7017741589072106,0.23581806501258587,0.0973496573593994,0.7853753849326768,,,,-0.10133721454816558,-0.6773252290773355,,,,,-0.4655869893272516,-0.8154867608712351,-1.8326260058215305,-0.8642894769822017,0.05118102651012487,,0.1665642601029784,0.1665642601029784,5.75,6
AS14.02,2014-04-03,train,1.7340876654818107,0.2838267912423879,0.550006688826375,0.007976029006974096,,,,-0.38648619528816486,-0.8287759534672682,289.489,,,,-0.4655869893272516,-0.44843695613783185,-1.1424978851951992,-1.6970608173350978,0.08929695969302678,,0.1665642601029784,0.1665642601029784,6.4,6
AS14.02,2014-04-04,train,0.8250360852380425,0.08279305206760265,0.024626113821416898,-0.7427382128360211,,,,-0.022372639757223218,-0.8493590634558444,,,,,0.4572729359464078,-1.538505841141108,-0.9517645807192496,-0.8642894769822017,-0.32074370964022747,,0.1665642601029784,0.1665642601029784,7.4,7
AS14.02,2014-04-05,train,1.728492996803772,0.4749347932121521,-0.12149114607177951,0.3707472459286589,,,,-0.3237834219796819,-0.6187094410109605,225.266,,,,1.6877528363112868,-0.7038973538047838,0.16729580852486053,0.4168972004837914,0.24591839023897297,1.0,0.1665642601029784,0.1665642601029784,4.5,4
AS14.02,2014-04-06,train,0.7099117423756397,-0.3129339254526373,-0.8145613926331194,0.10792030668779895,,,,-0.489063958273753,-0.6229241222424432,,,,,0.7648929110376276,-1.270590791140368,-4.118056826750707,-3.2985441641675894,-1.0273543628760513,,0.1665642601029784,0.1665642601029784,6.8,7
AS14.02,2014-04-07,train,-0.041167954107603565,0.4858140893991494,0.05324683604143305,-0.08720270438453047,,,,-0.1900722221061591,-0.2169277974368026,,,,,-0.4655869893272516,0.15556837726850317,-0.2384982705407419,-0.35181480599580517,-0.06471829151945649,,0.1665642601029784,0.1665642601029784,6.25,6
AS14.02,2014-04-08,train,1.1560737067806937,0.1702199922245213,-0.06508763054172956,-0.5489995786810159,,,,-0.07899245472319721,-0.43253268712375764,,,,,1.9953728114025067,-0.12976738020797365,-0.6043126608992647,-1.056467478602101,-0.5588456527733633,1.0,0.1665642601029784,0.1665642601029784,7.25,7
AS14.02,2014-04-09,train,1.0153645801520106,0.3328763143788198,-0.3100149321724911,0.08193141010018305,,,,-0.36581042016014065,-0.6500883958165292,,,,,2.6106127615849464,-0.07275085338116069,-0.9752674955096369,0.224719198863892,-0.14159408229873946,1.0,0.1665642601029784,0.1665642601029784,7.25,7
AS14.02,2014-04-10,train,1.1446152021846099,-0.016939282016829465,0.28881981950537283,0.1901755028266623,,,,-0.05236724002841966,-0.44760229748856206,175.17299999999997,,2.045,,-0.7732069644184714,0.7166798706275407,0.15034485178550844,0.224719198863892,0.10372843501206395,1.0,0.1665642601029784,0.1665642601029784,6.5,6
AS14.02,2014-04-11,train,2.707475584119538,0.6484728348291326,-0.0337461940255828,-0.01679771019337492,,,,-0.07234007807231929,-0.595406379337335,603.179,,,,1.0725128861288473,-0.28026200701242393,-0.6428486944664663,-0.7361708092356029,0.2617160913317375,1.0,0.1665642601029784,0.1665642601029784,6.0,6
AS14.02,2014-04-12,train,2.2666763951250033,0.49723862261523083,-0.36076327911393263,-0.01679771019337492,,,,-0.5636577566701102,-0.7238370248318504,311.767,,1.063,,0.7648929110376276,-1.9334015279137584,-3.0458490702472965,-1.3767641479685995,-0.690694096057212,1.0,0.1665642601029784,0.1665642601029784,7.2,7
AS14.02,2014-04-13,train,1.4220925364952284,-0.22224889113747875,-0.8926573889079684,-0.2620677202871751,,,,-0.29624321096869727,-0.7709769801599705,131.235,,,,-0.7732069644184714,-0.9728332029811263,-1.2056061760611017,0.16065986499059257,-0.9750144994939793,,0.1665642601029784,0.1665642601029784,8.0,8
AS14.02,2014-04-14,train,0.4413501457141669,-0.009656126946104432,0.04036453060422962,-0.7178097586367631,,,,-0.523735642719209,-0.8278824327536582,,,17.032,,1.380132861220067,0.4262905461462198,0.4523016215673273,1.185609206963387,-0.46627036825302826,7.0,0.1665642601029784,0.1665642601029784,7.25,7
AS14.02,2014-04-15,train,0.313011947824258,-0.6772479802705618,-1.282708187181978,-0.8291336468102798,,,,-0.523735642719209,-0.8604627686579207,,,,,3.2258527117673856,-0.6416765175241211,-0.10800174357350893,0.224719198863892,-1.590779901974263,1.0,0.1665642601029784,0.1665642601029784,6.666666666666667,7
